subject	total	semester
03.566	136	20132
04.500	20	20102
04.500	21	20111
04.500	40	20131
04.501	54	20082
04.501	62	20091
04.501	84	20101
04.501	80	20112
04.501	83	20121
04.501	50	20132
04.501	80	20141
04.502	2	20102
04.502	19	20111
04.502	43	20131
04.503	14	20112
04.505	2	20101
04.505	9	20112
04.505	26	20132
04.506	126	20081
04.506	103	20092
04.506	90	20102
04.506	187	20111
04.506	74	20122
04.506	122	20131
04.507	16	20101
04.507	23	20121
04.507	42	20141
04.508	81	20092
04.508	89	20102
04.508	109	20111
04.508	94	20122
04.508	80	20131
04.509	20	20132
04.511	67	20092
04.511	103	20102
04.511	104	20111
04.511	83	20122
04.511	72	20131
04.512	25	20112
04.512	38	20132
04.513	6	20102
04.513	17	20122
04.514	21	20091
04.514	21	20101
04.514	43	20112
04.514	48	20121
04.514	38	20132
04.514	37	20141
04.515	19	20092
04.515	25	20102
04.515	38	20111
04.515	46	20122
04.515	43	20131
04.516	32	20082
04.516	55	20091
04.516	101	20101
04.516	93	20112
04.516	92	20121
04.516	56	20132
04.516	58	20141
04.517	5	20111
04.518	8	20121
04.518	10	20132
04.520	11	20111
04.521	15	20101
04.521	16	20112
04.521	33	20141
04.523	109	20082
04.523	164	20091
04.523	188	20101
04.523	120	20112
04.523	119	20121
04.523	96	20132
04.523	111	20141
04.524	49	20092
04.524	69	20102
04.524	80	20111
04.524	61	20122
04.524	58	20131
04.525	19	20101
04.525	26	20121
04.525	34	20141
04.526	172	20081
04.526	148	20092
04.526	154	20102
04.526	212	20111
04.526	84	20122
04.526	143	20131
04.527	28	20082
04.527	41	20091
04.527	89	20101
04.527	74	20112
04.527	77	20121
04.527	63	20132
04.527	75	20141
04.528	23	20092
04.528	48	20102
04.528	64	20111
04.528	46	20122
04.528	64	20131
04.529	34	20101
04.529	54	20112
04.529	46	20121
04.529	46	20132
04.529	41	20141
04.530	5	20082
04.530	24	20091
04.530	26	20101
04.530	21	20112
04.530	10	20121
04.530	11	20132
04.530	16	20141
04.531	65	20081
04.531	55	20092
04.531	50	20102
04.531	56	20111
04.531	31	20122
04.531	43	20131
04.532	6	20082
04.532	5	20091
04.532	10	20101
04.532	8	20112
04.532	11	20121
04.532	12	20132
04.532	10	20141
04.533	31	20092
04.533	25	20102
04.533	31	20111
04.533	39	20122
