subject	total	semester
03.526	136	20132
03.527	35	20092
03.527	71	20102
03.527	94	20111
03.527	111	20122
03.527	151	20131
03.528	20	20101
03.528	66	20112
03.528	106	20121
03.528	136	20132
03.529	15	20092
03.529	54	20102
03.529	47	20111
03.529	109	20122
03.529	121	20131
03.530	25	20092
03.530	37	20102
03.530	43	20111
03.530	65	20122
03.530	73	20131
03.531	48	20082
03.531	52	20091
03.531	76	20101
03.531	126	20112
03.531	168	20121
03.531	154	20132
03.532	56	20092
03.532	82	20102
03.532	107	20111
03.532	133	20122
03.532	149	20131
03.533	13	20101
03.533	47	20112
03.533	75	20121
03.534	35	20102
03.534	45	20111
03.534	90	20122
03.534	73	20131
03.535	66	20082
03.535	40	20091
03.535	39	20101
03.535	78	20112
03.535	74	20121
03.535	124	20132
03.536	3	20102
03.536	6	20111
03.536	46	20122
03.536	44	20131
03.537	27	20112
03.537	23	20121
03.537	55	20132
03.538	6	20092
03.538	7	20102
03.538	27	20111
03.538	62	20131
03.539	35	20112
03.540	26	20112
03.540	41	20132
03.541	12	20092
03.541	34	20102
03.541	58	20122
03.544	108	20132
03.546	38	20132
03.547	30	20092
03.547	34	20102
03.547	28	20122
03.548	50	20121
03.549	62	20111
03.549	117	20131
03.550	51	20111
03.550	122	20131
03.552	15	20102
03.552	50	20111
03.552	86	20122
03.554	35	20122
03.555	15	20082
03.555	21	20091
03.555	57	20101
03.555	207	20121
03.556	29	20102
03.556	31	20111
03.556	54	20131
03.557	43	20112
03.557	65	20132
03.558	20	20092
03.558	40	20102
03.558	62	20122
03.560	145	20112
03.560	288	20132
03.562	84	20121
03.563	11	20092
03.563	24	20102
03.563	43	20122
03.564	64	20121
03.565	32	20122
03.566	46	20091
03.566	61	20101
03.566	59	20112
03.566	115	20132
04.500	13	20102
04.500	18	20111
04.500	27	20131
04.501	33	20082
04.501	35	20091
04.501	59	20101
04.501	63	20112
04.501	63	20121
04.501	38	20132
04.502	1	20102
04.502	14	20111
04.502	31	20131
04.503	13	20112
04.505	9	20112
04.505	22	20132
04.506	96	20081
04.506	68	20092
04.506	72	20102
04.506	137	20111
04.506	58	20122
04.506	99	20131
04.507	14	20101
04.507	20	20121
04.508	63	20092
04.508	65	20102
04.508	77	20111
04.508	65	20122
04.508	52	20131
04.509	17	20132
04.511	44	20092
04.511	87	20102
04.511	68	20111
04.511	62	20122
04.511	46	20131
04.512	16	20112
04.512	33	20132
04.513	3	20102
04.513	14	20122
04.514	14	20091
04.514	13	20101
04.514	36	20112
04.514	40	20121
04.514	32	20132
04.515	16	20092
04.515	20	20102
04.515	31	20111
04.515	37	20122
04.515	40	20131
04.516	26	20082
04.516	35	20091
04.516	75	20101
04.516	81	20112
04.516	74	20121
04.516	37	20132
04.517	4	20111
04.518	8	20121
04.518	10	20132
04.520	10	20111
04.521	10	20101
04.521	15	20112
04.523	64	20082
04.523	98	20091
04.523	115	20101
04.523	84	20112
04.523	85	20121
04.523	59	20132
04.524	35	20092
04.524	50	20102
04.524	64	20111
04.524	50	20122
04.524	46	20131
04.525	12	20101
04.525	19	20121
04.526	101	20081
04.526	104	20092
04.526	116	20102
04.526	150	20111
04.526	59	20122
04.526	107	20131
04.527	14	20082
04.527	29	20091
04.527	67	20101
04.527	65	20112
04.527	59	20121
04.527	55	20132
04.528	17	20092
04.528	42	20102
04.528	60	20111
04.528	43	20122
04.528	52	20131
04.529	20	20101
04.529	47	20112
04.529	41	20121
04.529	41	20132
04.530	5	20082
04.530	12	20091
04.530	15	20101
04.530	14	20112
04.530	8	20121
04.530	7	20132
04.531	30	20081
04.531	43	20092
04.531	35	20102
04.531	41	20111
04.531	18	20122
04.531	28	20131
04.532	5	20082
04.532	3	20091
04.532	7	20101
04.532	7	20112
04.532	7	20121
04.532	8	20132
04.533	29	20092
04.533	24	20102
04.533	27	20111
04.533	33	20122
04.533	26	20131
04.534	18	20121
04.536	9	20101
04.536	23	20112
04.536	34	20132
04.538	31	20082
04.538	38	20091
04.538	54	20101
04.538	65	20112
04.538	72	20121
04.538	53	20132
04.539	4	20092
04.539	9	20102
04.539	15	20111
04.539	12	20122
04.540	5	20092
04.540	14	20102
04.540	22	20111
04.540	24	20122
04.542	29	20092
04.542	40	20102
04.542	40	20111
04.542	35	20122
04.542	57	20131
04.543	57	20082
04.543	104	20091
04.543	93	20101
04.543	86	20112
04.543	101	20121
04.543	51	20132
04.544	8	20102
04.544	26	20122
04.546	11	20111
04.546	32	20131
04.547	12	20121
04.548	25	20111
04.548	24	20131
04.549	12	20121
04.550	31	20082
04.550	45	20091
04.550	80	20101
04.550	83	20112
04.550	70	20121
04.550	50	20132
04.551	3	20102
04.551	40	20122
04.552	4	20082
04.552	9	20091
04.552	13	20101
04.552	37	20112
04.552	30	20121
04.552	40	20132
04.553	6	20102
04.553	15	20122
04.555	19	20092
04.555	39	20102
04.555	48	20111
04.555	52	20122
04.555	31	20131
04.556	13	20082
04.556	29	20091
04.556	34	20101
04.556	39	20112
04.556	30	20121
04.556	35	20132
04.557	26	20092
04.557	44	20102
04.557	45	20111
04.557	46	20122
04.557	57	20131
04.558	8	20101
04.558	11	20121
04.559	14	20092
04.559	15	20102
04.559	20	20111
04.559	40	20122
04.559	39	20131
04.561	17	20101
04.561	24	20112
04.561	47	20121
04.562	6	20102
04.562	7	20111
04.562	11	20122
04.563	7	20101
04.563	15	20112
04.563	31	20121
04.563	37	20132
04.565	5	20112
04.565	7	20121
04.565	6	20132
04.566	23	20102
04.566	13	20111
04.566	25	20122
04.566	23	20131
04.579	9	20111
04.579	3	20122
04.579	11	20131
05.554	7	20092
05.554	55	20102
05.554	66	20111
05.554	46	20122
05.554	75	20131
05.555	4	20101
05.555	40	20112
05.555	30	20121
05.555	42	20132
05.556	12	20092
05.556	52	20102
05.556	73	20111
05.556	102	20122
05.556	109	20131
05.557	82	20101
05.557	76	20112
05.557	100	20121
05.557	79	20132
05.558	19	20102
05.558	27	20111
05.558	38	20122
05.558	49	20131
05.559	71	20101
05.559	79	20112
05.559	120	20121
05.559	74	20132
05.560	7	20101
05.560	59	20112
05.560	60	20121
05.560	82	20132
05.561	19	20092
05.561	53	20102
05.561	110	20111
05.561	63	20122
05.561	102	20131
05.562	69	20101
05.562	78	20112
